Day,Project,sum of Raw Hours,sum of Machine Hours
20/01/2021,lz,14.78444444,2014.388889
21/01/2021,lz,85.07305556,11910.22778
22/01/2021,lz,22.15305556,3101.427778
25/01/2021,lz,29.83944444,3862.005556
26/01/2021,lz,15.96944444,2235.722222
30/01/2021,lz,6.315,884.1
31/01/2021,lz,19.58722222,2742.211111
01/02/2021,lz,44.94611111,6292.455556
02/02/2021,lz,23.66305556,3312.827778
03/02/2021,lz,9.3425,1307.95
04/02/2021,lz,13.98972222,1784.427778
05/02/2021,lz,18.58055556,1901.427778
06/02/2021,lz,18.99194444,1519.355556
07/02/2021,lz,5.837222222,817.2111111
08/02/2021,lz,0.276388889,38.69444444
09/02/2021,lz,5.032222222,402.5777778
10/02/2021,lz,25.30444444,2404.322222
18/02/2021,lz,0.888333333,124.3666667
19/02/2021,lz,14.3625,1380.216667
22/02/2021,lz,14.56694444,1325.655556
23/02/2021,lz,20.14472222,2273.644444
24/02/2021,lz,35.51194444,4971.672222
25/02/2021,lz,52.63833333,7369.366667
26/02/2021,lz,59.87111111,8381.955556
27/02/2021,lz,40.15888889,5601.027778
28/02/2021,lz,12.55277778,1757.388889
01/03/2021,lz,16.36083333,2290.516667
02/03/2021,lz,16.05694444,1378.138889
03/03/2021,lz,28.13638889,2406.544444
04/03/2021,lz,12.08027778,1691.238889
05/03/2021,lz,27.09944444,2584.688889
06/03/2021,lz,16.11583333,2256.216667
07/03/2021,lz,50.69222222,7096.911111
08/03/2021,lz,105.0502778,14707.03889
09/03/2021,lz,29.0025,4050.616667
10/03/2021,lz,24.38527778,3413.938889
11/03/2021,lz,34.58694444,4842.172222
12/03/2021,lz,74.34333333,10408.06917
13/03/2021,lz,22.59666667,3163.533333
14/03/2021,lz,43.86611111,6141.255556
15/03/2021,lz,60.36694444,8451.363611
16/03/2021,lz,59.50055556,8330.077778
17/03/2021,lz,1.869722222,261.7611111
18/03/2021,lz,116.7447222,16344.26111
19/03/2021,lz,103.3558333,14469.81667
20/03/2021,lz,126.0891667,17652.48333
21/03/2021,lz,89.77666667,12568.73333
22/03/2021,lz,90.22388889,12631.34444
23/03/2021,lz,138.8780556,19442.92778
24/03/2021,lz,77.5025,10850.35
25/03/2021,lz,64.65694444,9051.972222
26/03/2021,lz,62.76083333,8786.516667
27/03/2021,lz,4.27,597.8
29/03/2021,lz,165.9413889,23231.79444
30/03/2021,lz,285.8805556,40023.27778
31/03/2021,lz,218.1180556,30536.52778
01/04/2021,lz,209.7672222,29367.41111
02/04/2021,lz,58.1525,8141.35
03/04/2021,lz,68.41138889,9577.594444
04/04/2021,lz,17.61833333,2466.566667
05/04/2021,lz,85.81777778,12014.48889
07/04/2021,lz,5.651111111,791.1555556
08/04/2021,lz,202.3102778,28323.43889
09/04/2021,lz,47.98527778,6717.938889
10/04/2021,lz,82.47583333,11546.61667
11/04/2021,lz,64.02916667,8964.083333
12/04/2021,lz,38.06305556,5328.827778
13/04/2021,lz,28.69083333,4016.716667
14/04/2021,lz,95.515,13372.1
15/04/2021,lz,205.4930556,28769.02778
16/04/2021,lz,61.19611111,8567.455556
17/04/2021,lz,62.49027778,8748.638889
18/04/2021,lz,38.08194444,5331.472222
19/04/2021,lz,3.057777778,428.0888889
20/04/2021,lz,104.6480556,14650.72778
21/04/2021,lz,15.725,2201.5
22/04/2021,lz,69.65222222,9751.311111
23/04/2021,lz,5.383055556,753.6277778
24/04/2021,lz,175.3386111,24547.40556
25/04/2021,lz,62.275,8718.5
26/04/2021,lz,70.66861111,9893.605556
27/04/2021,lz,21.09861111,2953.805556
28/04/2021,lz,105.4591667,14764.28333
29/04/2021,lz,182.2766667,25498.63333
30/04/2021,lz,170.7213889,23900.99444
01/05/2021,lz,100.2786111,14039.00556
02/05/2021,lz,177.9030556,24906.42778
03/05/2021,lz,156.5586111,21918.20556
04/05/2021,lz,47.12611111,6597.643333
05/05/2021,lz,160.0875,22412.24639
06/05/2021,lz,531.3391667,74387.48333
07/05/2021,lz,38.37,5371.8
08/05/2021,lz,41.51638889,5812.294444
09/05/2021,lz,59.52083333,8332.916667
10/05/2021,lz,132.0577778,18488.08889
11/05/2021,lz,30.29138889,4240.794444
12/05/2021,lz,2.960833333,414.5166667
13/05/2021,lz,16.92583333,2369.616667
14/05/2021,lz,7.365555556,1031.177778
17/05/2021,lz,1.795277778,251.3388889
18/05/2021,lz,9.043611111,1266.105556
21/05/2021,lz,2.478055556,346.9302778
22/05/2021,lz,28.06194444,3928.668611
23/05/2021,lz,45.35305556,6349.427778
